"","Month","Neighbourhood","Mean","Count"
"252",12,"LOWER EAST SIDE          ",866488.565217391,23
"253",1,"MANHATTAN VALLEY         ",593868.214285714,14
"254",2,"MANHATTAN VALLEY         ",726376.454545455,11
"255",3,"MANHATTAN VALLEY         ",1592915.38461538,13
"256",4,"MANHATTAN VALLEY         ",888626.928571429,14
"257",5,"MANHATTAN VALLEY         ",1315440.54545455,33
"258",6,"MANHATTAN VALLEY         ",917739.619047619,21
"259",7,"MANHATTAN VALLEY         ",788286.125,24
"260",8,"MANHATTAN VALLEY         ",955273.894736842,19
"261",9,"MANHATTAN VALLEY         ",3452197.875,32
"262",10,"MANHATTAN VALLEY         ",1035670.22222222,9
"263",11,"MANHATTAN VALLEY         ",2959214.23809524,21
"264",12,"MANHATTAN VALLEY         ",823615.384615385,13
"265",1,"MIDTOWN CBD              ",1385107.42857143,7
"266",2,"MIDTOWN CBD              ",1307625.33333333,12
"267",3,"MIDTOWN CBD              ",80960668.2941176,17
"268",4,"MIDTOWN CBD              ",1239197.3,20
"269",5,"MIDTOWN CBD              ",1314084.47619048,21
"270",6,"MIDTOWN CBD              ",105891069.5,10
"271",7,"MIDTOWN CBD              ",1618917.33333333,15
"272",8,"MIDTOWN CBD              ",27107366.5714286,21
"273",9,"MIDTOWN CBD              ",4488733.33333333,15
"274",10,"MIDTOWN CBD              ",80962882.0555556,18
"275",11,"MIDTOWN CBD              ",36524726.9230769,13
"276",12,"MIDTOWN CBD              ",1114129.16666667,12
"277",1,"MIDTOWN EAST             ",4222933.51612903,62
"278",2,"MIDTOWN EAST             ",824268.942028985,69
"279",3,"MIDTOWN EAST             ",1166879.72,75
"280",4,"MIDTOWN EAST             ",1184735.27083333,96
"281",5,"MIDTOWN EAST             ",1340378.70588235,102
"282",6,"MIDTOWN EAST             ",1705127.14414414,111
"283",7,"MIDTOWN EAST             ",976896.682926829,123
"284",8,"MIDTOWN EAST             ",1612619.6369863,146
"285",9,"MIDTOWN EAST             ",1096713.81651376,109
"286",10,"MIDTOWN EAST             ",1149013.16513761,109
"287",11,"MIDTOWN EAST             ",1137027.26136364,88
"288",12,"MIDTOWN EAST             ",3557148.1,100
"289",1,"MIDTOWN WEST             ",399403.67037037,270
"290",2,"MIDTOWN WEST             ",330915.645038168,262
"291",3,"MIDTOWN WEST             ",7737407.77016129,248
"292",4,"MIDTOWN WEST             ",716402.838926174,149
"293",5,"MIDTOWN WEST             ",1436254.46952596,443
"294",6,"MIDTOWN WEST             ",1393579.78378378,296
"295",7,"MIDTOWN WEST             ",825841.883146067,445
"296",8,"MIDTOWN WEST             ",701171.501355014,369
"297",9,"MIDTOWN WEST             ",617420.835164835,273
"298",10,"MIDTOWN WEST             ",2092143.21403509,285
"299",11,"MIDTOWN WEST             ",2061443.58958333,480
"300",12,"MIDTOWN WEST             ",3495787.69811321,265
"301",1,"MORNINGSIDE HEIGHTS      ",286666.666666667,3
"302",2,"MORNINGSIDE HEIGHTS      ",350500,5
"303",3,"MORNINGSIDE HEIGHTS      ",666333.333333333,3
"304",4,"MORNINGSIDE HEIGHTS      ",491760,5
"305",5,"MORNINGSIDE HEIGHTS      ",4857888.625,8
"306",6,"MORNINGSIDE HEIGHTS      ",632233.333333333,9
"307",7,"MORNINGSIDE HEIGHTS      ",476166.666666667,6
"308",8,"MORNINGSIDE HEIGHTS      ",357333.333333333,9
"309",9,"MORNINGSIDE HEIGHTS      ",506857.142857143,7
"310",10,"MORNINGSIDE HEIGHTS      ",384153.846153846,13
"311",11,"MORNINGSIDE HEIGHTS      ",381455,6
"312",12,"MORNINGSIDE HEIGHTS      ",436125,8
"313",1,"MURRAY HILL              ",886712.514285714,35
"314",2,"MURRAY HILL              ",1437438.22222222,45
"315",3,"MURRAY HILL              ",1467081.55882353,34
"316",4,"MURRAY HILL              ",825771.919354839,62
"317",5,"MURRAY HILL              ",1477770.18518519,54
"318",6,"MURRAY HILL              ",1130085.73584906,53
"319",7,"MURRAY HILL              ",1021810.01408451,71
"320",8,"MURRAY HILL              ",1041638.52542373,59
"321",9,"MURRAY HILL              ",2013954.95081967,61
"322",10,"MURRAY HILL              ",2018684.72413793,58
"323",11,"MURRAY HILL              ",1015881.70731707,41
"324",12,"MURRAY HILL              ",1511916.96923077,65
"325",1,"SOHO                     ",3799377.88888889,18
"326",2,"SOHO                     ",4082217.76923077,13
"327",3,"SOHO                     ",3559203.5,34
"328",4,"SOHO                     ",3171394,30
"329",5,"SOHO                     ",7782989.88,25
"330",6,"SOHO                     ",7772071,19
"331",7,"SOHO                     ",8591183.95,20
"332",8,"SOHO                     ",5277704.16666667,24
"333",9,"SOHO                     ",3527190.7,20
"334",10,"SOHO                     ",8294492.13793103,29
"335",11,"SOHO                     ",9128305.375,16
"336",12,"SOHO                     ",3203225.28571429,21
"337",1,"SOUTHBRIDGE              ",734999.666666667,3
"338",2,"SOUTHBRIDGE              ",1378500,4
"339",3,"SOUTHBRIDGE              ",552500,2
"340",4,"SOUTHBRIDGE              ",1587832.4,5
"341",5,"SOUTHBRIDGE              ",4645000,7
"342",6,"SOUTHBRIDGE              ",996666.666666667,3
"343",7,"SOUTHBRIDGE              ",1582549.25,4
"344",8,"SOUTHBRIDGE              ",753000,2
"345",9,"SOUTHBRIDGE              ",1025000,2
"346",10,"SOUTHBRIDGE              ",1617500,2
"347",11,"SOUTHBRIDGE              ",1261666.66666667,3
"348",12,"SOUTHBRIDGE              ",62140500,1
"349",1,"TRIBECA                  ",1736053.59259259,27
