,Unnamed: 0,Month,Neighbourhood,Mean,Count
385,386,2,UPPER EAST SIDE (96-110),3059750.0,3
386,387,3,UPPER EAST SIDE (96-110),1373963.63636364,11
387,388,4,UPPER EAST SIDE (96-110),2182109.25,8
388,389,5,UPPER EAST SIDE (96-110),1736765.16666667,12
389,390,6,UPPER EAST SIDE (96-110),1770646.0,20
390,391,7,UPPER EAST SIDE (96-110),1668634.5,14
391,392,8,UPPER EAST SIDE (96-110),1466186.2,15
392,393,9,UPPER EAST SIDE (96-110),2012464.85714286,7
393,394,10,UPPER EAST SIDE (96-110),1246272.72727273,11
394,395,11,UPPER EAST SIDE (96-110),1481785.71428571,7
395,396,12,UPPER EAST SIDE (96-110),3790962.44444444,9
396,397,1,UPPER WEST SIDE (59-79),1558266.59183673,98
397,398,2,UPPER WEST SIDE (59-79),1493735.34883721,86
398,399,3,UPPER WEST SIDE (59-79),1773558.58974359,78
399,400,4,UPPER WEST SIDE (59-79),5154383.73504274,117
400,401,5,UPPER WEST SIDE (59-79),1824883.72262774,137
401,402,6,UPPER WEST SIDE (59-79),1903095.83673469,147
402,403,7,UPPER WEST SIDE (59-79),1676749.87356322,174
403,404,8,UPPER WEST SIDE (59-79),2005836.84713376,157
404,405,9,UPPER WEST SIDE (59-79),1759651.02654867,113
405,406,10,UPPER WEST SIDE (59-79),1649586.00769231,130
406,407,11,UPPER WEST SIDE (59-79),1671378.97938144,97
407,408,12,UPPER WEST SIDE (59-79),4337014.17266187,139
408,409,1,UPPER WEST SIDE (79-96),1481784.96078431,51
409,410,2,UPPER WEST SIDE (79-96),1437735.21212121,66
410,411,3,UPPER WEST SIDE (79-96),3501375.0,59
411,412,4,UPPER WEST SIDE (79-96),1563376.63043478,46
412,413,5,UPPER WEST SIDE (79-96),1668351.7012987,77
413,414,6,UPPER WEST SIDE (79-96),737473.987096774,155
414,415,7,UPPER WEST SIDE (79-96),1669785.79166667,96
415,416,8,UPPER WEST SIDE (79-96),2780727.8172043,93
416,417,9,UPPER WEST SIDE (79-96),1678187.71212121,66
417,418,10,UPPER WEST SIDE (79-96),1902938.69,100
418,419,11,UPPER WEST SIDE (79-96),1467647.53731343,67
419,420,12,UPPER WEST SIDE (79-96),3639986.96629213,89
420,421,1,UPPER WEST SIDE (96-116),1098314.85714286,14
421,422,2,UPPER WEST SIDE (96-116),1080119.24,25
422,423,3,UPPER WEST SIDE (96-116),3197670.81481481,27
423,424,4,UPPER WEST SIDE (96-116),1246715.21875,32
424,425,5,UPPER WEST SIDE (96-116),1039418.63636364,44
425,426,6,UPPER WEST SIDE (96-116),3895967.56521739,46
426,427,7,UPPER WEST SIDE (96-116),1706767.03921569,51
427,428,8,UPPER WEST SIDE (96-116),1413816.75,40
